"","sub","label","sulcal_width_mm","hemi"
"369",101915,"prculs_d",1.26109123855179,"lh"
"370",102008,"prculs_d",2.31098243675668,"lh"
"371",102311,"prculs_d",1.81158232791244,"lh"
"372",102513,"prculs_d",1.63425364355451,"lh"
"373",102816,"prculs_d",1.31532072916845,"lh"
"374",103111,"prculs_d",1.28054011459291,"lh"
"375",103414,"prculs_d",1.75888109521512,"lh"
"376",103515,"prculs_d",1.19272838646759,"lh"
"377",103818,"prculs_d",1.59014271041597,"lh"
"378",104416,"prculs_d",1.46540667806006,"lh"
"379",104820,"prculs_d",1.75892630449014,"lh"
"380",105014,"prculs_d",1.2100837007201,"lh"
"381",105115,"prculs_d",0.979291187783672,"lh"
"382",105216,"prculs_d",2.24086111939116,"lh"
"383",105620,"prculs_d",1.04935146398516,"lh"
"384",106016,"prculs_d",1.26525689659327,"lh"
"385",106319,"prculs_d",1.49331301530224,"lh"
"386",106521,"prculs_d",0.688823065329643,"lh"
"387",107018,"prculs_d",1.68794248702125,"lh"
"388",107220,"prculs_d",1.6880265469605,"lh"
"389",107321,"prculs_d",1.85503800550991,"lh"
"390",107422,"prculs_d",1.85594545938025,"lh"
"391",107725,"prculs_d",0.597720877497135,"lh"
"392",108121,"prculs_d",0.789118740969178,"lh"
"393",108222,"prculs_d",1.77857430006426,"lh"
"394",108323,"prculs_d",1.99171011975889,"lh"
"395",108525,"prculs_d",1.96239087754362,"lh"
"396",108828,"prculs_d",0.777076170225123,"lh"
"397",109123,"prculs_d",1.61657528676052,"lh"
"398",109325,"prculs_d",1.0499501525642,"lh"
"399",109830,"prculs_d",1.78128013315959,"lh"
"400",110007,"prculs_d",1.2300902912683,"lh"
"401",110411,"prculs_d",1.43080016539513,"lh"
"402",110613,"prculs_d",1.73618030956363,"lh"
"403",112920,"prculs_d",1.33193757213813,"lh"
"404",114924,"prculs_d",1.45035413535558,"lh"
"405",120111,"prculs_d",0.980025967095776,"lh"
"406",128127,"prculs_d",1.27698948216009,"lh"
"407",133928,"prculs_d",2.02911847270555,"lh"
"408",144125,"prculs_d",1.70182918535394,"lh"
"409",146937,"prculs_d",1.96991535255779,"lh"
"410",151425,"prculs_d",1.51483477829331,"lh"
"411",151829,"prculs_d",1.82002324766598,"lh"
"412",164939,"prculs_d",2.18958311156811,"lh"
"413",168240,"prculs_d",1.22263127198286,"lh"
"414",176744,"prculs_d",1.24707765123805,"lh"
"415",180937,"prculs_d",1.3101953000619,"lh"
"416",185947,"prculs_d",2.36321906304325,"lh"
"417",214019,"prculs_d",1.40584661796403,"lh"
"418",268749,"prculs_d",1.60422701600543,"lh"
"419",365343,"prculs_d",0.96494298380504,"lh"
"420",380036,"prculs_d",2.09246031265573,"lh"
"421",517239,"prculs_d",1.18925104391045,"lh"
"422",522434,"prculs_d",1.19905427789741,"lh"
"423",531536,"prculs_d",1.77114204214319,"lh"
"424",566454,"prculs_d",1.40281503692306,"lh"
"425",585256,"prculs_d",1.01975150086662,"lh"
"426",622236,"prculs_d",1.69173947799855,"lh"
"427",644044,"prculs_d",1.66815163134859,"lh"
"428",679770,"prculs_d",1.25785259741186,"lh"
"429",687163,"prculs_d",1.76366814524717,"lh"
"430",867468,"prculs_d",1.47358797597859,"lh"
"431",910241,"prculs_d",1.51139722766965,"lh"
"432",959574,"prculs_d",1.83367850294388,"lh"
"433",100206,"spls",0.881423742157944,"lh"
"434",100307,"spls",0.665536781644755,"lh"
"435",100408,"spls",0.757328788969064,"lh"
"436",100610,"spls",1.28169413129744,"lh"
"437",101006,"spls",0.837467347596541,"lh"
"438",101107,"spls",0.960183909465409,"lh"
"439",101309,"spls",0.779873364298392,"lh"
"440",101410,"spls",1.4275527017316,"lh"
"441",101915,"spls",1.28549067817648,"lh"
"442",102008,"spls",0.892109003979113,"lh"
"443",102311,"spls",1.499115458722,"lh"
"444",102513,"spls",1.03374779928066,"lh"
"445",102816,"spls",1.04534460465145,"lh"
"446",103111,"spls",0.962472298589542,"lh"
"447",103414,"spls",0.590227165190034,"lh"
"448",103515,"spls",0.839238216521781,"lh"
"449",103818,"spls",0.659845189372895,"lh"
"450",104416,"spls",1.00102748058318,"lh"
"451",104820,"spls",0.936778282123375,"lh"
"452",105014,"spls",0.892420567718666,"lh"
"453",105115,"spls",1.0368582355949,"lh"
"454",105216,"spls",1.50410312185485,"lh"
"455",105620,"spls",1.13742839370717,"lh"
"456",106016,"spls",1.3577737878215,"lh"
"457",106319,"spls",1.1437913790474,"lh"
"458",106521,"spls",1.29901023347677,"lh"
"459",107018,"spls",1.25401264495602,"lh"
"460",107220,"spls",1.30389228587371,"lh"
"461",107321,"spls",0.760178684109709,"lh"
"462",107422,"spls",1.36748356984955,"lh"
"463",107725,"spls",0.857038060106363,"lh"
"464",108121,"spls",1.07425524183288,"lh"
"465",108222,"spls",1.12020096094832,"lh"
"466",108323,"spls",0.835735233518884,"lh"
"467",108525,"spls",0.89298795788076,"lh"
"468",108828,"spls",0.9264770898286,"lh"
"469",109123,"spls",1.12703662893391,"lh"
"470",109325,"spls",1.18024587528462,"lh"
"471",109830,"spls",0.679842406705308,"lh"
"472",110007,"spls",1.64080370121209,"lh"
"473",110411,"spls",0.757518544979663,"lh"
"474",110613,"spls",0.58582080483489,"lh"
"475",112920,"spls",0.926137594610101,"lh"
"476",114924,"spls",1.23661725399937,"lh"
"477",120111,"spls",0.973457818151627,"lh"
