,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,pres_abs,sulcal_depth_mm
614,105216,rh,sspls_d,0,40,31,94,2.862,0.234,0.057,0.024,0,0,-0.0138533161953092,0.119038417935371,-0.00748296920210123,0.57249915599823,present,3.87887850097438
615,105216,rh,sspls_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
616,105216,rh,w,0,85,59,157,2.527,0.221,0.075,0.01,0,0.1,0.260123699903488,0.542988419532776,0.140507683157921,0.505437433719635,present,11.9893773989831
617,105620,lh,icgs_p,0,16,15,52,2.838,0.169,0.116,0.018,0,0,-0.286113858222961,-0.242731586098671,-0.156568750739098,0.567529141902924,present,2.15730866845711
618,105620,lh,ifrms,0,104,71,255,3.906,0.334,0.136,0.022,1,0.1,-0.0494514964520931,0.0882285535335541,-0.0270611140877008,0.781214416027069,present,2.35097504836275
619,105620,lh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
620,105620,lh,mcgs,0,1032,737,1469,2.167,0.356,0.095,0.013,5,0.5,0.449148088693619,1.23618960380554,0.245785221457481,0.433414369821548,present,15.8597020021427
621,105620,lh,pos,0,1030,748,1478,2.18,0.46,0.114,0.022,5,1.1,0.503518223762512,1.26305246353149,0.275537937879562,0.435996323823929,present,19.9031855825791
622,105620,lh,prculs_d,0,220,150,320,2.423,0.36,0.114,0.032,1,0.3,0.77837735414505,1.14284813404083,0.425947815179825,0.48451566696167,present,16.6276423666559
623,105620,lh,prculs_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
624,105620,lh,prcus_a,0,619,457,1009,2.342,0.332,0.103,0.013,3,0.4,0.328044354915619,1.01397776603699,0.179514184594154,0.468310832977295,present,14.0181353179475
625,105620,lh,prcus_i,0,99,81,252,2.737,0.678,0.156,0.022,1,0.1,0.00347224669530988,0.265658676624298,0.00190010340884328,0.547448515892029,present,4.030923334125
626,105620,lh,prcus_p,0,866,623,1193,2.058,0.359,0.102,0.013,4,0.6,0.36227422952652,1.0842958688736,0.198245644569397,0.411644637584686,present,13.3137578644084
627,105620,lh,spls,0,588,413,985,2.612,0.539,0.111,0.02,3,0.5,0.352502375841141,1.06657838821411,0.192898228764534,0.522469699382782,present,13.5400785577721
628,105620,lh,sspls_d,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
629,105620,lh,sspls_v,0,123,85,256,3.102,0.292,0.149,0.022,1,0.2,-0.330047845840454,-0.10368525236845,-0.180610537528992,0.62031215429306,present,2.72280698489003
630,105620,lh,w,0,185,127,246,1.957,0.301,0.073,0.011,0,0.1,0.413759976625443,0.78760552406311,0.226419940590858,0.391306132078171,present,12.7667842988259
631,105620,rh,icgs_p,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
632,105620,rh,ifrms,0,87,54,199,3.341,0.291,0.124,0.021,1,0.1,-0.151618123054504,-0.043216910213232,-0.0833415389060974,0.668145477771759,present,1.55271475156218
633,105620,rh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
634,105620,rh,mcgs,0,779,579,1081,2.062,0.392,0.104,0.014,4,0.5,0.369157522916794,1.0969398021698,0.202918723225594,0.412320762872696,present,12.8897484765222
635,105620,rh,pos,0,1869,1327,2779,2.277,0.349,0.093,0.017,6,1.5,0.550649344921112,1.37721109390259,0.302681237459183,0.455444723367691,present,20.754979931094
636,105620,rh,prculs_d,0,495,367,691,1.917,0.353,0.099,0.011,3,0.2,0.250205814838409,1.02702414989471,0.137533277273178,0.383460432291031,present,16.0311142600745
637,105620,rh,prculs_v,0,103,85,204,2.149,0.239,0.093,0.013,0,0.1,-0.0212571620941162,0.29625740647316,-0.0116846496239305,0.429717838764191,present,9.7414135125199
638,105620,rh,prcus_a,0,600,454,950,2.158,0.344,0.117,0.02,3,0.6,0.235360100865364,0.844466805458069,0.129372894763947,0.431682139635086,present,10.6366204631644
639,105620,rh,prcus_i,0,957,718,1748,2.505,0.484,0.128,0.021,7,1.1,0.0705478861927986,0.971820771694183,0.0387788116931915,0.500925958156586,present,11.8934339250035
640,105620,rh,prcus_p,0,399,303,590,2.113,0.374,0.113,0.015,2,0.3,0.131683424115181,0.809700787067413,0.0723838284611702,0.422546297311783,present,11.1200709877279
641,105620,rh,spls,0,757,554,1164,2.567,0.465,0.13,0.026,5,0.9,0.636025607585907,1.19137299060822,0.349610954523087,0.5133376121521,present,13.8999283871917
642,105620,rh,sspls_d,0,29,20,93,3.4,0.21,0.155,0.04,0,0.1,-0.117634117603302,0.0574481934309006,-0.0646611973643303,0.680096447467804,present,1.30521855687253
643,105620,rh,sspls_v,0,203,145,439,2.795,0.446,0.115,0.017,1,0.2,-0.2494727820158,0.101322844624519,-0.137130349874496,0.558951139450073,present,4.0580607162346
