"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","pres_abs","sulcal_depth_mm"
"695","c26","rh","prcus_i",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"696","c26","rh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"697","c26","rh","spls",0,62,42,212,4.802,0.367,0.082,0.016,0,0,-0.212403476238251,-0.117890276014805,-0.107959508895874,0.960356175899506,"present",0.562956985330381
"698","c26","rh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"699","c26","rh","sspls_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"700","c26","rh","w",0,188,130,377,3.702,0.446,0.074,0.006,0,0.1,0.556278109550476,1.03122889995575,0.282742559909821,0.740494430065155,"present",12.5734871864199
"701","c27","lh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"702","c27","lh","ifrms",0,62,44,148,3.546,0.411,0.05,0.01,0,0,-0.0827798545360565,0.079133041203022,-0.0426046960055828,0.709166347980499,"present",2.73910400227944
"703","c27","lh","isms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"704","c27","lh","mcgs",0,1417,971,1610,1.853,0.716,0.085,0.011,5,0.6,0.752723515033722,1.66514360904694,0.387407809495926,0.370592385530472,"present",16.9256311202275
"705","c27","lh","pos",0,1861,1294,2221,2.048,0.616,0.104,0.02,11,1.4,0.525488436222076,1.59313428401947,0.270455628633499,0.409680426120758,"present",18.7203555996365
"706","c27","lh","prculs_d",0,465,326,526,1.654,0.397,0.072,0.012,2,0.1,0.36372298002243,1.25558280944824,0.187199041247368,0.330763161182404,"present",15.5993845179411
"707","c27","lh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"708","c27","lh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"709","c27","lh","prcus_i",0,137,105,359,3.871,0.612,0.105,0.01,1,0,-0.268136411905289,0.127121195197105,-0.138003036379814,0.774241626262665,"present",2.68028081567236
"710","c27","lh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"711","c27","lh","spls",0,144,101,271,4.082,0.33,0.116,0.017,1,0.1,0.0878385677933693,0.27378723025322,0.0452082939445972,0.81643271446228,"present",3.57866279244218
"712","c27","lh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"713","c27","lh","sspls_v",0,57,45,134,2.792,0.474,0.063,0.006,0,0,-0.239693641662598,-0.160292401909828,-0.123364262282848,0.558337688446045,"present",2.36735285575915
"714","c27","lh","w",0,351,248,516,2.174,0.551,0.083,0.012,1,0.2,0.312654405832291,0.913649082183838,0.160915315151215,0.434832394123077,"present",14.8127607245555
"715","c27","rh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
