,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,sulcal_depth_mm
342,214019,rh,mcgs_sb,0,93,71,185,2.664,0.221,0.122,0.013,1,0,0.661368846893311,1.01696264743805,0.3522047996521,0.532772362232208,11.0900855665099
343,268749,lh,mcgs_db,0,457.0,314.0,657.0,2.255,0.357,0.094,0.017,2.0,0.3,0.27104079723358200,1.0952743291854900,0.14763545989990200,0.4509775936603550,13.4317063624299
344,268749,lh,mcgs_mb,0,661,492,963,2.195,0.41,0.114,0.018,4,0.5,0.472797632217407,1.17990481853485,0.257532060146332,0.438962340354919,15.4377529797474
345,268749,lh,mcgs_sb,0,86,68,151,2.237,0.292,0.133,0.018,1,0.1,0.46851509809494,0.813255190849304,0.255199372768402,0.447371542453766,9.7833064499286
346,268749,rh,mcgs_db,0,376,263,521,2.069,0.316,0.099,0.012,2,0.2,0.234624341130257,1.09157013893127,0.120693497359753,0.413731098175049,14.7661045614339
347,268749,rh,mcgs_mb,0,1061,751,1548,2.342,0.431,0.108,0.021,5,1,0.652724862098694,1.40645027160645,0.335769295692444,0.468435049057007,16.6656259480871
348,268749,rh,mcgs_sb,0,130,96,220,2.58,0.35,0.122,0.033,1,0.2,0.580759048461914,0.963580369949341,0.298749178647995,0.515990972518921,11.3828246411896
349,365343,lh,mcgs_db,0,455,325,583,1.975,0.276,0.091,0.011,2,0.3,0.411753386259079,1.012770652771,0.225423693656921,0.394952386617661,15.125455700172
350,365343,lh,mcgs_mb,0,604,403,853,2.361,0.26,0.074,0.008,2,0.2,0.591541111469269,1.32233536243439,0.3238525390625,0.472102373838425,16.4213773882384
351,365343,lh,mcgs_sb,0,82,76,220,2.621,0.308,0.121,0.03,1,0,0.416717022657394,0.781150877475739,0.228141129016876,0.524209201335907,13.9960927586664
352,365343,rh,mcgs_db,0,114,82,206,2.561,0.257,0.112,0.016,1,0.1,0.380958050489426,0.783651173114777,0.198007181286812,0.512283504009247,8.40940131579486
353,365343,rh,mcgs_mb,0,754,552,1087,2.238,0.378,0.106,0.013,4,0.5,0.505152881145477,1.33473718166351,0.262558788061142,0.447541177272797,14.8911781481437
354,365343,rh,mcgs_sb,0,166,116,298,2.581,0.372,0.126,0.022,1,0.2,0.529472768306732,0.871841907501221,0.275199323892593,0.516166687011719,7.45666161748244
355,380036,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,380036,lh,mcgs_mb,0,1022,753,1502,2.205,0.348,0.095,0.016,4,0.7,0.441275268793106,1.1895843744278,0.250805586576462,0.440932363271713,13.8864721412875
357,380036,lh,mcgs_sb,0,74,58,162,2.882,0.469,0.153,0.027,1,0.1,0.208323389291763,0.550769865512848,0.118403784930706,0.576433002948761,8.7759885436001
358,380036,rh,mcgs_db,0,163,129,282,2.172,0.306,0.085,0.012,0,0.1,0.138541698455811,0.544241070747375,0.0763713121414185,0.434436947107315,8.02146762148308
359,380036,rh,mcgs_mb,0,992,709,1376,2.212,0.428,0.096,0.013,4,0.6,0.607307434082031,1.47270023822784,0.334779113531113,0.44241127371788,15.137891653294
